step,ΔE,ΔS,left-,left+,right-,right+,E
0,-236.5521213561758,-0.18921289984077,39,39,31,41,-2.7823330238161788
1,0.0,-0.2953516767335877,39,39,31,41,-2.7823330238161788
2,0.0,-0.2953516767335877,39,39,31,41,-2.7823330238161788
3,0.0,0.18921289984076997,40,40,30,40,-2.7823330238161788
4,0.0,0.08277473563422894,41,41,29,39,-2.7823330238161788
5,-0.02703931716723673,-0.08277473563422903,40,40,30,40,-2.8093723409834155
6,-0.013561108243976605,-0.18921289984077,39,39,31,41,-2.822933449227392
7,0.0,-0.2953516767335877,38,38,32,42,-2.822933449227392
8,1.4210854715202004e-14,-0.4013413909243025,38,38,32,42,-2.822933449227392
9,0.9766554475096001,0.2953516767335878,39,39,31,41,-1.846278001717792
10,0.0,-0.2953516767335877,38,38,32,42,-1.846278001717792
11,-0.008264106230896573,-0.4013413909243025,38,38,32,42,-1.846278001717792
12,0.08718914304031955,0.2953516767335878,39,39,31,41,-1.7590888586774724
13,0.003332678967055358,0.18921289984076997,40,40,30,40,-1.755756179710417
14,0.0,0.08277473563422894,41,41,29,39,-1.755756179710417
15,0.16944741527615292,-0.024115691148536386,42,42,28,38,-1.5863087644342642
16,0.0,-0.13161514989745915,43,43,27,37,-1.5863087644342642
17,0.9810935532755707,-0.23988573245728317,43,43,27,37,-1.5863087644342642
18,0.0,0.13161514989745904,42,42,28,38,-1.5863087644342642
19,0.0,0.024115691148536258,41,41,29,39,-1.5863087644342642
20,0.0,-0.08277473563422903,40,40,30,40,-1.5863087644342642
21,0.0,-0.18921289984077,39,39,31,41,-1.5863087644342642
22,-0.023765348267829722,-0.2953516767335877,39,39,31,41,-1.5863087644342642
23,0.0,0.18921289984076997,40,40,30,40,-1.5863087644342642
24,0.0,-0.18921289984077,39,39,31,41,-1.5863087644342642
25,0.1156521614781667,0.18921289984076997,40,40,30,40,-1.4706566029560975
26,0.0,-0.18921289984077,39,39,31,41,-1.4706566029560975
27,-0.021037340790044823,0.18921289984076997,40,40,30,40,-1.4916939437461423
28,-0.0005971795448687089,-0.18921289984077,39,39,31,41,-1.492291123291011
29,0.008767648443210874,-0.2953516767335877,39,39,31,41,-1.492291123291011
30,0.0,-0.2953516767335877,39,39,31,41,-1.492291123291011
31,-0.5179139674683313,-0.2953516767335877,38,38,32,42,-2.0102050907593423
32,1.2307339223993665,0.2953516767335878,38,38,32,42,-2.0102050907593423
33,0.0,0.2953516767335878,39,39,31,41,-2.0102050907593423
34,0.9810935532755707,0.18921289984076997,39,39,31,41,-2.0102050907593423
35,-1.4210854715202004e-14,-0.2953516767335877,38,38,32,42,-2.0102050907593565
36,0.0,-0.4013413909243025,37,37,33,43,-2.0102050907593565
37,0.0005971795448829198,0.40134139092430243,38,38,32,42,-2.0096079112144736
38,0.0,0.2953516767335878,39,39,31,41,-2.0096079112144736
39,0.0021396168321814457,0.18921289984076997,40,40,30,40,-2.007468294382292
40,0.008767648443210874,-0.18921289984077,39,39,31,41,-1.9987006459390813
41,0.0,-0.2953516767335877,39,39,31,41,-1.9987006459390813
42,0.0,-0.2953516767335877,38,38,32,42,-1.9987006459390813
43,-0.004194092028853902,0.2953516767335878,39,39,31,41,-2.002894737967935
44,0.0,-0.2953516767335877,38,38,32,42,-2.002894737967935
45,0.0,0.2953516767335878,39,39,31,41,-2.002894737967935
46,0.0,-0.2953516767335877,38,38,32,42,-2.002894737967935
47,0.0,0.2953516767335878,39,39,31,41,-2.002894737967935
48,0.021037340790059034,-0.2953516767335877,38,38,32,42,-1.9818573971778761
