step,ΔE,ΔS,left,right,E
44,5.499946426581289,2.933708071383133,64,36,-135.47118206108144
45,-0.8212394081667185,-3.1053693459790774,64,36,-135.47118206108144
46,2.5201274696076723,-3.1053693459790774,64,36,-135.47118206108144
47,7.119253798620377,2.933708071383133,64,36,-135.47118206108144
48,2.649696251612397,2.933708071383133,66,34,-132.82148580946904
49,10.94892215056241,-2.933708071383133,66,34,-132.82148580946904
50,12.66373677903151,2.7575508448752406,66,34,-132.82148580946904
51,0.40644851125367154,-2.933708071383133,66,34,-132.82148580946904
52,258.37572060954983,-2.933708071383133,66,34,-132.82148580946904
53,6.89719477352503,-2.933708071383133,66,34,-132.82148580946904
54,3.3722671764364804,-2.933708071383133,66,34,-132.82148580946904
55,3.9413169252418356,-2.933708071383133,66,34,-132.82148580946904
56,-1.2113409254026806,-2.933708071383133,66,34,-132.82148580946904
57,7.959152917654706,-2.933708071383133,66,34,-132.82148580946904
58,9.675132331753673,-2.933708071383133,66,34,-132.82148580946904
59,-4.440596780845198,-2.933708071383133,64,36,-137.26208259031424
60,1.3303301242185341,2.933708071383133,66,34,-135.9317524660957
61,18.172922388561744,-2.933708071383133,66,34,-135.9317524660957
62,7.779242307394469,2.7575508448752406,66,34,-135.9317524660957
63,6.714197025344191,-2.933708071383133,66,34,-135.9317524660957
64,-0.32784293468179726,-2.933708071383133,66,34,-135.9317524660957
65,-0.9220190236869144,-2.933708071383133,66,34,-135.9317524660957
66,2.812667028283272,2.7575508448752406,68,32,-133.11908543781243
67,0.16567143849027843,-2.7575508448752406,68,32,-133.11908543781243
68,2.439322152386808,2.576004443997926,70,30,-130.67976328542562
69,5.87380023533062,2.3880302989509308,70,30,-130.67976328542562
70,-1.7995237858141877,-2.576004443997926,68,32,-132.4792870712398
71,7.60659065467631,2.576004443997926,68,32,-132.4792870712398
72,9.400846575100744,2.576004443997926,68,32,-132.4792870712398
73,1.075563671492091,-2.7575508448752406,68,32,-132.4792870712398
74,-4.175348432133148,-2.7575508448752406,66,34,-136.65463550337296
75,3.82605729182373,2.7575508448752406,68,32,-132.82857821154923
76,4.384939317633439,-2.7575508448752406,68,32,-132.82857821154923
77,-4.850007128163469,-2.7575508448752406,66,34,-137.6785853397127
78,4.908569080598568,2.7575508448752406,66,34,-137.6785853397127
79,7.881462729706641,2.7575508448752406,66,34,-137.6785853397127
80,6.988643919760875,-2.933708071383133,66,34,-137.6785853397127
81,6.011516081642782,2.7575508448752406,66,34,-137.6785853397127
82,19.08506978001529,2.7575508448752406,66,34,-137.6785853397127
83,1.6913278455125749,-2.933708071383133,66,34,-137.6785853397127
84,3.1521912496807545,-2.933708071383133,66,34,-137.6785853397127
85,7.10038758437247,-2.933708071383133,66,34,-137.6785853397127
86,4.145444660931503,-2.933708071383133,66,34,-137.6785853397127
87,6.152631627232552,-2.933708071383133,66,34,-137.6785853397127
